snapshot_id,product_id,date_scraped,price_per_unit,inventory_level
0,Fastenal_110120344.0,2025-07-22,0.3628,1000
1,Fastenal_110120380.0,2025-07-22,0.9552,1000
2,Fastenal_110120345.0,2025-07-22,0.4256,1000
3,Fastenal_110120304.0,2025-07-22,0.1741,1000
4,Fastenal_110120346.0,2025-07-22,0.481,1000
5,Fastenal_110120382.0,2025-07-22,1.1355,1000
6,Fastenal_110120302.0,2025-07-22,0.132,1000
7,Fastenal_115209.0,2025-07-22,1.2462,1000
8,Fastenal_115311.0,2025-07-22,2.2675,1000
9,Fastenal_13105.0,2025-07-22,0.312,1000
10,Fastenal_115211.0,2025-07-22,1.4655,1000
11,Fastenal_115105.0,2025-07-22,0.5138,1000
12,Fastenal_13209.0,2025-07-22,0.9628,1000
13,Fastenal_110120325.0,2025-07-22,0.25,1000
14,Fastenal_15209.0,2025-07-22,1.2207,1000
15,Fastenal_15311.0,2025-07-22,2.3161,1000
16,Fastenal_13107.0,2025-07-22,0.4088,1000
17,Fastenal_115109.0,2025-07-22,0.654,1000
18,Fastenal_15107.0,2025-07-22,0.5497,1000
19,Fastenal_110120417.0,2025-07-22,1.864,1000
20,Fastenal_70005.0,2025-07-22,0.2912,1000
21,Fastenal_70107.0,2025-07-22,0.7647,1000
22,Fastenal_70105.0,2025-07-22,0.7363,1000
23,Fastenal_115313.0,2025-07-22,2.5877,1000
24,Fastenal_70003.0,2025-07-22,0.2748,1000
25,Fastenal_110120348.0,2025-07-22,0.6101,1000
26,Fastenal_1170105.0,2025-07-22,0.7471,1000
27,Fastenal_15211.0,2025-07-22,1.5134,1000
28,Fastenal_15105.0,2025-07-22,0.4823,1000
29,Fastenal_115107.0,2025-07-22,0.5723,1000
30,Fastenal_110120384.0,2025-07-22,1.3796,1000
31,Fastenal_1170005.0,2025-07-22,0.3093,1000
32,Fastenal_13109.0,2025-07-22,0.4582,1000
33,Fastenal_115005.0,2025-07-22,0.2241,1000
34,Fastenal_110120342.0,2025-07-22,0.2926,1000
35,Fastenal_13210.0,2025-07-22,1.0157,1000
36,Fastenal_1170003.0,2025-07-22,0.2716,1000
37,Fastenal_15313.0,2025-07-22,2.7513,1000
38,Fastenal_110120379.0,2025-07-22,0.8614,1000
39,Fastenal_110120419.0,2025-07-22,2.2427,1000
40,Fastenal_15109.0,2025-07-22,0.6125,1000
41,Fastenal_110120386.0,2025-07-22,1.6083,1000
42,Fastenal_110120350.0,2025-07-22,0.7849,1000
43,Fastenal_13211.0,2025-07-22,1.2241,1000
44,Fastenal_115213.0,2025-07-22,1.7554,1000
45,Fastenal_115315.0,2025-07-22,3.4029,1000
46,Fastenal_15210.0,2025-07-22,1.3555,1000
47,Fastenal_110120378.0,2025-07-22,0.7244,1000
48,Fastenal_110120323.0,2025-07-22,0.2112,1000
49,Fastenal_115215.0,2025-07-22,2.3682,1000
50,Fastenal_15005.0,2025-07-22,0.2164,1000
51,Fastenal_110120421.0,2025-07-22,2.5718,1000
52,Fastenal_115111.0,2025-07-22,0.8682,1000
53,Fastenal_70109.0,2025-07-22,0.9907,1000
54,Fastenal_110120300.0,2025-07-22,0.1169,1000
55,Fastenal_70055.0,2025-07-22,0.5012,1000
56,Fastenal_115363.0,2025-07-22,4.7408,1000
57,Fastenal_70209.0,2025-07-22,2.0617,1000
58,Fastenal_15363.0,2025-07-22,4.954,1000
59,Fastenal_15323.0,2025-07-22,4.5335,1000
